,year,title,authors
13132,2006,A new method of test generation for sequential circuits,Hou Yanli
13133,2006,Research on method of the fault diagnosis for digital circuits,Hou Yanli
13134,2005,Economic dispatch of power systems based on the modified particle swarm optimization algorithm,Hou Yun-He
13135,2005,A hybrid of /spl epsiv/-constraint and particle swarm optimization for designing of pid controllers,Hsiao Ying-Tung
13136,2005,Particle swarm optimization for macrocell overlap removal and placement,Hsieh Sheng-Ta
13137,2005,Optimal pid controller design in pmsm servo system via particle swarm optimization,Hu Haibing
13138,2006,A study of particle swarm optimization in urban traffic surveillance system,Hu Jianming
13139,2003,Swarm intelligence for permutation optimization: a case study of n-queens problem,Xiaohui Hu R.C.Eberhart
13140,2006,An improved particle swarm optimization and its application to power system transfer capability calculation,Zhang Chang
13141,2007,An rbf network with ols and epso algorithms for real-time power dispatch,Huang C.-M.
13142,2005,A particle swarm optimization to identifying the armax model for short-term load forecasting,Huang Chao-Ming
13143,2005,A zone routing protocol for bluetooth manet with online adaptive zone radius,Huang Chenn-Jung
13144,2005,Adaptive resource reservation schemes for multimedia handoffs in fourth-generation mobile communications system,Huang Chenn-Jung
13145,2006,Pso-based time-optimal trajectory planning for space robot with dynamic constraints,Huang Panfeng
13146,2005,Application of particle swarm optimization for microwave imaging of lossy dielectric objects,Huang T.
13147,2005,Significance of neighborhood topologies for the reconstruction of microwave images using particle swarm optimization,Huang T.
13148,2007,A microparticle swarm optimizer for the reconstruction of microwave images,Huang Tony
13149,2004,Fir filter design: frequency sampling filters by particle swarm optimization algorithm,Huang Wan-Ping
13150,2004,Reduction and optimization for a support-vector-machine-based fuzzyclassification-system,Huang Yan-Xin
13151,2006,Nonlinear system identification based on support vector machine using particle swarm optimization,Lee Byung
13152,2000,Global optimization algorithms for training product unit neural networks,Ismail A.
13153,2006,Human body pose estimation with pso,Ivekovic S.
13154,2005,Flexible particle swarm optimization tasks for reconfigurable processor arrays,Janson S.
13155,2005,Distributed odor source localization in dynamic environment,Jatmiko W.
13156,2006,A mobile robots pso-based for odor source localization in dynamic advection-diffusion environment,Jatmiko W.
13157,2006,"A pso-based mobile sensor network for odor source localization in dynamic environment: Theory, simulation and measurement",Jatmiko W.
13158,2004,Particle swarm optimization for mobile ad hoc networks clustering,Ji Chunlin
13159,2006,Study on secondary voltage control based on multi-agent particle swarm optimization algorithm,Jia Z.W.
13160,2005,Modified particle swarm optimization algorithm for steelmaking charge plan based on the pseudo tsp model,Jian Wei
13161,2005,Determination of wavelet denoising threshold by pso and ga,Jiang Mingyan
13162,2006,A particle swarm based network hosts clustering algorithm for peer-to-peer networks,Jiang Yi
13163,2005,A particle swarm optimization approach for reactive power dispatch,Jimenez-Nunez J.J.
13164,2005,Parallel particle swarm optimization and finite- difference timedomain (pso/fdtd) algorithm for multiband and wide-band patch antenna designs,Jin N.
13165,2005,Design of e-shaped dual-band and wideband patch antennas using parallel pso/fdtd algorithm,Jin Nanbo
13166,2005,Parallel pso/fdtd algorithm for the optimization of patch antennas and ebg structures,Jin Nanbo
13167,2007,"Advances in particle swarm optimization for antenna designs: Real-number, binary, single-objective and multiobjective implementations",Jin Nanbo
13168,2006,Real-number and binary multi-objective particle swarm optimizations: Aperiodic antenna array designs,Jin Nanbo
13169,2004,Distribution network reconfiguration for load balancing using binary particle swarm optimization,Jin Xiaoling
13170,2005,Local optimum embranchment based convergence guarantee particle swarm optimization and its application in transmission network planning,Jin Yi-Xiong
13171,2006,Load-frequency control by hybrid evolutionary fuzzy pi controller,Juang C.-F.
13172,2004,A hybrid of genetic algorithm and particle swarm optimization for recurrent network design,Juang Chia-Feng
13173,2005,Temperature control by chip-implemented adaptive recurrent fuzzy controller designed by evolutionary algorithm,Juang Chia-Feng
13174,2004,On the hybrid of genetic algorithm and particle swarm optimization for evolving recurrent neural network,Juang Chia-Feng
13175,2004,Tsk-type recurrent fuzzy network design by the hybrid of genetic algorithm and particle swarm optimization,Juang Chia-Feng
13176,2004,Power system load frequency control by evolutionary fuzzy pi controller,Juang Chia-Feng
13177,2005,Automatic landing control using particle swarm optimization,Juang Jih-Gau
13178,2006,A particle swarm optimization approach for pid parameters in hydraulic servo control system,Jun Zou
13179,2006,An effective hybrid optimization algorithm for the flow shop scheduling problem,Kai Sun
13180,2006,Modeling midi music as multivariate time series,Kalos A.
13181,2006,Optimal parameter selection in image similarity evaluation algorithms using particle swarm optimization,Kameyama K.
13182,2005,Application and comparison of metaheuristic techniques to generation expansion planning problem,Kannan S.
13183,2005,Power system stability enhancement using backstepping controller tuned by particle swarm optimization technique,Karimi A.
13184,2006,Decentralized extended-backstepping control of power systems,Karimi A.
13185,2002,Dynamic security border identification using enhanced particle swarm optimization,
13186,2006,Transmission expansion planning using lp-based particle swarm optimization,Kavitha D.
13187,2004,Identification of time-varying delay systems using particle swarm optimization,Ke Jing
13188,2005,Making soccer kicks better: a study in particle swarm optimization and evolution strategies,Khemka N.
13189,2006,Design of multi-band transmission line transformer using particle swarm optimization,Khodier M.
13190,2005,Linear array geometry synthesis with minimum sidelobe level and null control using particle swarm optimization,Khodier M.M.
13191,2005,A framework for identification of fuzzy models through particle swarm optimization algorithm,Khosla A.
13192,2007,Application of artificial neural networks to broadband antenna design based on a parametric frequency model,Kim Youngwook
13193,2006,Equivalent circuit modeling of broadband antennas using vector fitting and particle swarm optimization,Kim Youngwook
13194,2005,Comparison of particle swarm optimizations for optimal operational planning of energy plants,Kitagawa S.
13195,2006,A combustion control modeling of coke oven by swarmbased fuzzy system,Ko E.T.
13196,2003,Particle swarm optimization-based approach for generator maintenance scheduling,Koay Chin Aik
13197,2006,Using hardware-based particle swarm method for dynamic optimization of adaptive array antennas,Kokai G.
13198,2006,Particle swarm algorithm for tasks scheduling in distributed heterogeneous system,Kong Xiaohong
13199,2003,Adaptive filtering via particle swarm optimization,Krusienski D.J.
13200,2004,The application of particle swarm optimization to adaptive iir phase equalization,Krusienski D.J.
13201,2004,A particle swarm optimization-least mean squares algorithm for adaptive filtering,Krusienski D.J.
13202,2006,A modified particle swarm optimization algorithm for adaptive filtering,Krusienski D.J.
13203,2003,Particle swarm optimization solution to emission and economic dispatch problem,Kumar A.I.S.
13204,2005,An ant colony optimization model for wireless ad-hoc network autoconfiguration,Kumar V.
13205,2006,Intensity-preserving contrast enhancement for gray-level images using multi-objective particle swarm optimization,Kwok N.M.
13206,2007,Optimization of a spline-shaped uwb antenna by pso,L. Lizzi
13207,2005,Particle swarm optimization for economic dispatch of units with non-smooth input-output characteristic functions,Lai L.L.
13208,2005,Evolutionary solo pong players,Langdon W.B.
13209,2006,Utilizing evolutionary computation methods for the design of s-boxes,Laskari E.C.
13210,2006,Parameter identification for position-based robot hand tracking,Lee Jong Kwang
13211,2006,Intelligent techniques applied to power plant,Lee K.Y.
13212,2006,Application of particle swarm optimization to economic dispatch problem: Advantages and disadvantages,Lee K.Y.
13213,2006,Particle swarm optimization-based svm application: Power transformers incipient fault syndrome diagnosis,Lee Tsair-Fwu
13214,2003,Layout optimization of manufacturing cells using particle swarm optimization,Lei J.
13215,2006,A novel path planning for mobile robots using modified particle swarm optimizer,Lei Kaiyou
13216,2006,Power system reactive power optimization based on adaptive particle swarm optimization algorithm,Li D.
13217,2006,The maximum variance between clusters method of image segmentation based on particle swarm optimization,Li Jian-Ming
13218,2006,An improved particle swarm optimizer for truss structure optimization,Li Lijuan
13219,2006,Particle swarm optimization for route planning of unmanned aerial vehicles,Li Shibo
13220,2006,Short-term electric load forecasting based on sapso-ann algorithm,Li Xiang
13221,2005,Leader-formation navigation with sensor constraints,Li Yangmin
13222,2005,Adaptive particle swarm optimizer for beam angle selection in radiotherapy planning,Li Yongjie
13223,2006,Character recognition based on hierarchical rbf neural networks,Li Yuelong
13224,2006,A dual similar particle swarm optimization algorithm for job-shop scheduling with penalty,Lian Zhigang
13225,2006,Wavelength detection in fbg sensor network using tree search dms-pso,Liang J.J.
13226,2006,The design of neuro-fuzzy networks using particle swarm optimization and recursive singular value decomposition,Lin Cheng-Jian
13227,2006,An asymmetry subsethood-based neural fuzzy network,Lin Cheng-Jian
13228,2006,Cluster distance factor searching by particle swarm optimization for self-growing radial basis function neural network,Lin Chun-Ling
13229,2005,Pso-based learning rate adjustment for blind source separation,Lin Chun-Ling
13230,2006,Particle swarm optimization for control of nonlinear dynamics,Lin Jiann-Horng
13231,2005,Dynamic clustering using support vector learning with particle swarm optimization,Lin Jiann-Horng
13232,2006,A new identification method for hammerstein model based on pso,Lin Weixing
13233,2005,Prediction of the flow stress for 30 mnsi steel using evolutionary least squares support vector machine and mathematical models,Chen Ai
13234,2006,A new combinatorial meta-heuristic algorithm for stochastic electric power system production costing and operations planning,Liu Baozheng
13235,2007,An effective pso-based memetic algorithm for flow shop scheduling,Liu Bo
13236,2005,Flexible protein-ligand docking using particle swarm optimization,Liu Bo-Fu
13237,2006,On solving multiobjective bin packing problems using particle swarm optimization,Liu D.S.
13238,2005,An improved particle swarm optimization and its application in long-term streamflow forecast,Liu Fang
13239,2006,Particle swarm approach to scheduling workflow applications in distributed data-intensive computing environments,Liu Hongbo
13240,2006,Nonlinear system identification of hammerstien and wiener model using swarm intelligence,Liu J.
13241,2006,Application of improved pso for csi in customization system oriented network manufacturing,Liu Jia
13242,2006,The application of neural network based on particle swarm optimization in pattern recognition of flatness signal,Liu Jianchang
13243,2005,A discrete particle swarm optimizer for graphic presentation of gmdh network,Liu Te-Chen
13244,2006,Study on power system load forecasting based on mpso artificial neural networks,Liu Wei
13245,2006,A particle swarm optimization approach to a multi-objective reconfigurable machine tool design problem,Liu Wei
13246,2006,A hybrid particle swarm optimization algorithm for predicting the chaotic time series,Liu Wei
13247,2005,Design of a multiband cpw-fed monopole antenna using a particle swarm optimization approach,Liu Wen-Chung
13248,2006,A new clarans algorithm based on particle swarm optimization,Liu Xiyu
13249,2006,Particle swarm optimization based on dynamic niche technology with applications to conceptual design,Liu Xiyu
13250,2005,Modeling identification of power plant thermal process based on pso algorithm,Liu Yijian
13251,2004,Optimization design based on pso algorithm for pid controller,Liu Yijian
13252,2004,Application of particle swarm optimization algorithm for weighted fuzzy rule-based system,Liu Yijian
13253,2005,Modeling transcriptional regulation in chondrogenesis using particle swarm optimization,Liu Yunlong
13254,2006,Hybrid particle swarm optimization for permutation flow shop scheduling,Liu Zhixiong
13255,2005,Particle swarn optimization with fast local search for the blind traveling salesman problem,Lope H.S.
13256,2004,Control of flexible ac transmission system by evolutionary fuzzy controller,Lu Chun-Feng
13257,2005,Evolutionary fuzzy control of flexible ac transmission system,Lu Chun-Feng
13258,2006,Neural network predictive control based on particle swarm optimization for urban expressway,Lu Zhilin
13259,2004,On the use of a population-based particle swarm optimizer to design combinational logic circuits,Luna E.H.
13260,2006,An improved pso algorithm for resource-constrained project scheduling problem,Luo Xinggang
13261,2004,A discrete particle swarm optimization algorithm for phylogenetic tree reconstruction,Lv Hui-Ying
13262,2006,Two improved algorithms for multiple sequence alignment in a remote diagnose system for colonic cancer in pervasive environment,Lv Yanping
13263,2006,Pso-based real-time control of planar uniform circular arrays,M. Benedetti
13264,2006,Application of varying population size particle swarm optimization algorithm to agc of power systems,Ma Fei
13265,2004,Automatic fuzzy rule extraction based on particle swarm optimization,Ming M.A.
13266,2005,Fuzzy rule extraction by two-objective particle swarm optimization and application for taste identification of tea,Ma Ming
13267,2006,Direct torque control mining locomotive haulage with fuzzy controller based on particle swarm optimization,Ma Xian-Min
13268,2006,The formulation of the optimal strategies for the electricity producers based on the particle swarm optimization algorithm,Ma Y.
13269,2005,Interactive particle swarm optimization,Madar J.
13270,2005,Design of planar microwave filters using a simple fdtd model and particle swarm optimization,Mahanfar A.
13271,2006,Sensor scheduling for target tracking using particle swarm optimization,Maheswararajah S.
13272,2005,A 20 ghz compact scalable model of silicon-based on-chip spiral inductor for rfics,Mandal S.K.
13273,2006,A wide-band lumped element compact cad model of si-based planar spiral inductor for rfic design,Mandal S.K.
13274,2004,Particle swarm optimization for modeling and parameter extraction of on-chip spiral inductors for rfics,Mandal S.K.
13275,2003,A new reactive power optimization algorithm,Mantawy A.H.
13276,2006,Boolean particle swarm optimization and its application to the design of a dual-band dual-polarized planar antenna,Marandi A.
13277,2005,Particle swarm optimization (pso) applied to fuzzy modeling in a thermal-vacuum system,Marinke R.
13278,2002,Multifrequency optimization of multilayered shields,Massarini A.
13279,2004,Particle swarm optimization of microwave microstrip filters,Matekovits L.
13280,2005,Improved pso algorithms for electromagnetic optimization,Matekovits L.
13281,2006,Speed control of three-inertia systems by full-order controllers,Matsui Y.
13282,2005,Cluster based congestion management in deregulated electricity market using pso,Meena T.
13283,2006,Particle swarm extension to lolimot,Mehran R.
13284,2004,A modified particle swarm optimizer applied to the solution of the economic dispatch problem,Mekhamer S.F.
13285,2002,Particle swarms for feedforward neural network training,Mendes R.
13286,2006,Optimized sink node path using particle swarm optimization,Mendis C.
13287,2004,Image analogy using patch-based texture synthesis,Meng Yu
13288,2004,Learning to play games using a pso-based competitive learning approach,Messerschmidt L.
13289,2005,A simple and robust adaptive parasitic antenna,Migliore M.D.
13290,2005,Swarm intelligence in automated electrical wafer sort classification,Miguelanez E.
13291,2004,Evolving neural networks using swarm intelligence for binmap classification,Miguelanez E.
13292,2005,Investigation of the quantum particle swarm optimization technique for electromagnetic applications,Mikki S.
13293,2006,Quantum particle swarm optimization for electromagnetics,Mikki S.M.
13294,2006,Application of particle swarm optimization to the design of multi-band antennas with lumped loads,Mims M.E.
13295,2005,Obstacle avoidance with multi-objective optimization by pso in dynamic environment,Min Hua-Qing
13296,2006,Particle swarm optimized polynomials for data classification,Misra B.B.
13297,2005,A comparison of pso and backpropagation for training rbf neural networks for identification of a power system with statcom,Mohaghegi S.
13298,2005,Particle swarm optimization for bluetooth scatternet formation,Mohemmed A.W.
13299,2005,Swarm approach for a connectivity problem in wireless networks,Montemanni R.
13300,2005,Evolving combinational logic circuits using a hybrid quantum evolution and particle swarm inspired algorithm,Moore P.
13301,2006,Velocity relaxed swarm intelligent tuning of fuzzy based power system stabilizer,Mukherjee V.
13302,2006,Determining rna secondary structure using set-based particle swarm optimization,Neethling M.
13303,2006,Global optimization for multiple transmitter localization,Nelson J.K.
13304,2005,Adapting particle swarm optimization to stock markets,Nenortaite J.
13305,2005,Distributed sensor placement with sequential particle swarm optimization,Ngatchou P.N.
13306,2006,Multiobjective multistatic sonar sensor placement,Ngatchou P.N.
13307,2006,Particle swarm optimization for identification of gms friction model,Nilkhamhang I.
13308,2004,Particle swarm optimization for constrained layout optimization,Ning Li
13309,2006,An improved particle swarm optimization method based on borderline search strategy for transmission network expansion planning,Niu Dong-Xiao
13310,2006,Grey model of power load forecasting based on particle swarm optimization,Niu Dongxiao
13311,2006,A novel approach to image fusion based on multi-objective optimization,Niu Yifeng
13312,2006,Improved maximum likelihood estimation of target position in wireless sensor networks using particle swarm optimization,Noel M.M.
13313,2006,Ima e enhancement sin redator- rey ptimi er al orithm,Noura M.
13314,2006,Multi-objective particle swarm optimization for fuzzy logic based active queue management,Nyirenda C.N.
13315,2002,Parameter tuning of fixed structure controller for power system stability enhancement,Okada T.
13316,2003,Nonlinear blind source separation using coherence function,Oku T.
13317,2006,Daily volt/var control in distribution networks with regard to dgs: a comparison of evolutionary methods,Olamaie J.
13318,2005,Improving cascading classifiers with particle swarm optimization,
13319,2005,Optimizing class-related thresholds with particle swarm optimization,
13320,2004,The automatic generation of programs for classification problems with grammatical swarm,O’Neill M.
13321,2006,Comparison between pso and ga for parameters optimization of pid controller,Ou Chao
13322,2005,Cognitive swarms for rapid detection of objects and associations in visual imagery,Owechko Y.
13323,2004,Classifier swarms for human detection in infrared imagery,Owechko Y.
13324,2006,The particle swarm interval rule optimizer with an application to drug design data,Paetz J.
13325,2006,Recurrent neural network based predictions of elephant migration in a south african game reserve,Palangpour P.
13326,2006,A discrete particle swarm optimization algorithm for single machine total earliness and tardiness problem with a common due date,Quan-Ke Pan M.F.Tasgetiren
13327,2003,Particle swarm optimization for economic dispatch with line flow and voltage constraints [power generation scheduling,Pancholi R.K.
13328,2004,Particle swarm optimization for security constrained economic dispatch,Pancholi R.K.
13329,2006,An evolutionary algorithm approach to estimate the parameters of power quality signals,Pandi V.Ravikumar
13330,2004,Fuzzy discrete particle swarm optimization for solving traveling salesman problem,Pang Wei
13331,2004,Modified particle swarm optimization based on space transformation for solving traveling salesman problem,Pang Wei
13332,2006,Particle swarm localization of acoustic sources in the presence of reverberation,Parisi R.
13333,2004,A 12.5 ghz rf matrix amplifier in 180nm soi cmos,Park Jinho
13334,2004,Rf circuit synthesis using particle swarm optimization,Park Jinho
13335,2003,Parasitic-aware design and optimization of a fully integrated cmos wideband amplifier,Park Jinho
13336,2006,An improved particle swarm optimization for economic dispatch problems with non-smooth cost functions,Park Jong-Bae
13337,2005,A particle swarm optimization for economic dispatch with nonsmooth cost functions,Park Jong-Bae
13338,2003,Economic load dispatch for nonsmooth cost functions using particle swarm optimization,Park Jong-Bae
13339,2003,Particle swarm approach for retiming in vlsi,Paul A.
13340,2000,Battery pack state of charge estimator design using computational intelligence approaches,Peng Jinchun
13341,2006,Particle swarm optimization for antenna far-field radiation pattern reconstruction,Perez J.R.
13342,2006,Parameter identification of induction motor based on particle swarm optimization,Picardi C.
13343,2005,Application of particle swarm optimization to the train scheduling for high-speed passenger railroad planning,Ping Ren
13344,2007,Comparison of different heuristic optimization methods for near-field antenna measurements,Prez Jess Ramn
13345,2005,Particle swarm optimization for unsupervised robotic learning,Pugh J.
13346,2006,Fault-tolerant optimal neurocontrol for a static synchronous series compensator connected to a power network,Qiao Wei
13347,2006,A fault-tolerant p-q decoupled control scheme for static synchronous series compensator,Wei Qiao R.G.Harley
13348,2006,Design of optimal pi controllers for doubly fed induction generators driven by wind turbines using particle swarm optimization,Wei Qiao G.K.Venayagamoorthy
13349,2004,Path planning for mobile robot using the particle swarm optimization with mutation operator,Qin Yuan-Qing
13350,2005,A feasibility study of eeg dipole source localization using particle swarm optimization,Qiu Lijun
13351,2003,"Implanted antennas for biotelemetry: antennas, safety and communications issues",Rahmat-Samii Y.
13352,2003,Optimisation of valve timing events of internal combustion engines with particle swarm optimisation,Ratnaweera A.
13353,2006,Circuit synthesis using particle swarm optimization,Reis C.
13354,2005,Predictive control of proton exchange membrane fuel cell (pemfc) based on support vector regression machine,Ren Yuan
13355,2006,Designing for rbf networks based on particle swarm optimization and regularized orthogonal least squares,Ren Ziwu
13356,2006,Inference of gene regulatory networks from time course gene expression data using neural networks and swarm intelligence,Ressom H.W.
13357,2005,Analysis of maldi-tof serum profiles for biomarker selection and sample classification,Ressom H.W.
13358,2006,Inferring network interactions using recurrent neural networks and swarm intelligence,Ressom H.W.
13359,2005,Fpga implementation of particle swarm optimization for inversion of large neural networks,
13360,2005,Dynamic body posture tracking using evolutionary optimisation,Robertson C.
13361,2004,Particle swarm optimization in electromagnetics,Robinson J.
13362,2002,"Particle swarm, genetic algorithm, and their hybrids: optimization of a profiled corrugated horn antenna",Robinson J.
13363,2006,Evolutionary computation based optimization in fuzzy automatic generation control,Roy R.
13364,2007,Multiclass cancer classification using semisupervised ellipsoid artmap and particle swarm optimization with gene expression data,
13365,2007,Inference of genetic regulatory networks with recurrent neural network models using particle swarm optimization,
13366,2006,Fuzzy clustering by particle swarm optimization,Runkler T.A.
13367,2005,Multi-view classifier swarms for pedestrian detection and tracking,Saisan P.
13368,1997,Using the particle swarm optimization technique to train a recurrent neural model,Salerno J.
13369,2005,Application of pso technique for optimal location of facts devices considering system loadability and cost of installation,Saravanan M.
13370,2007,A new particle swarm optimization solution to nonconvex economic dispatch problems,Selvakumar A.I.
13371,2006,Parameter estimation in stochastic mammogram model by heuristic optimization techniques,Selvan S.E.
13372,2005,Using particle swarm optimisation for elastic bunch graph matching to recognise faces,Senaratne R.
13373,2006,Optimised landmark model matching for face recognition,Senaratne R.
13374,2002,A comprehensive method for optimal expansion planning using particle swarm optimization,Sensarma P.S.
13375,2006,Data clustering using hybridization of clustering based on grid and density with pso,Shan Shi M.
13376,2006,A new ann optimized by improved pso algorithm combined with chaos and its application in short-term load forecasting,ShangDong Yang
13377,2004,Unmanned vehicle navigation using swarm intelligence,
13378,2006,A dynamic adaptive particle swarm optimization for knapsack problem,Shen Xianjun
13379,2006,Reliability growth modeling for software fault detection using particle swarm optimization,Sheta A.
13380,2006,Scalable model of on-wafer interconnects for high-speed cmos ics,Shi Xiaomeng
13381,2006,Global generator and transmission maintenance scheduling based on a mixed intelligent optimal algorithm in power market,Shu Jun
13382,2006,Meta heuristic search algorithms for short-term hydrothermal scheduling,Sinha N.
13383,2004,Pso embedded evolutionary programming technique for nonconvex economic load dispatch,Sinha Nidul
13384,2005,Particle swarm over scene matching,Sjahputera O.
13385,2004,Inversion of ocean color observations using particle swarm optimization,Slade W.H.
13386,1549,Generation expansion planning in the competitive environment,Slochanal S.Mary Raja
13387,2006,Particle swarm optimization-based fuzzy predictive control strategy,Solis J.
13388,2007,New chaotic pso-based neural network predictive control for nonlinear process,Song Ying
13389,2003,Swarm optimisation as a new tool for data mining,Sousa T.
13390,2003,Traffic incident detection using particle swarm optimization,Srinivasan D.
13391,2003,Particle swarm optimization for worst case tolerance design,Steiner G.
13392,2004,Worst case circuit design of capacitive sensor electronics with steepest descent particle swarm optimization,Steiner G.
13393,2004,An effective search method for nn-based face detection using pso,Sugisaka M.
13394,2006,Human clustering for a partner robot based on particle swarm optimization,Sulistijono I.A.
13395,2006,Support vector machines with pso algorithm for shortterm load forecasting,Sun Changyin
13396,2004,Apso based gabor wavelet feature extraction method,Sun Hong-Guang
13397,2004,Pso based gabor wavelet feature extraction method,Sun Hongguang
13398,2003,Utilizing particle swarm optimization to label a structured beam matrix,Sun Qin
13399,2006,Floorplanning based on particle swarm optimization,Sun Tsung-Ying
13400,2006,The neural network model based on pso for short-term load forecasting,Sun Wei
13401,2007,Operating schedule of battery energy storage system in a time-of-use rate industrial user with wind turbine generators: A multipass iteration particle swarm optimization approach,T.-Y Lee
13402,2006,An optimization approach for underactuated running robot,Takahashi Tomoya
13403,2004,Hybrid particle swarm with differential evolution for multimodal image registration,Talbi H.
13404,2004,Particle swam optimization for image registration,Talbi H.
13405,2005,Feature selection for microarray data using least squares svm and particle swarm optimization,Tang E.K.
13406,2005,A particle swarm optimiser with passive congregation approach to thermal modelling for power transformers,Tang W.H.
13407,1419,Particle swarm optimization algorithm for single machine total weighted tardiness problem,Tasgetiren M.F.
13408,2006,Hierarchical routing in traffic using swarm-intelligence,Tatomir B.
13409,2005,Investigation of particle swarm optimization for dynamic reconfiguration of field-programmable analog circuits,Tawdross P.
13410,2004,Optimal placement of wavelength converters in wdm networks using particle swarm optimizer,Teo Choon Fang
13411,2006,A particle swarm optimization solution to no2 and so2 emissions for environmentally constrained economic dispatch problem,Thakur T.
13412,2006,Economic load dispatch for piecewise quadratic cost function using hybrid self-adaptive differential evolution with augmented lagrange multiplier method,Thitithamrongchai C.
13413,2003,Inversion of neural network underwater acoustic model for estimation of bottom parameters using modified particle swarm optimizers,
13414,2006,Stochastic collision detection between deformable models using particle swarm optimization algorithm,Tianzhu Wang
13415,2002,Cluster-head identification in ad hoc sensor networks using particle swarm optimization,Tillett J.
13416,2005,Performance analysis of grinding process via particle swarm optimization,Ting T.O.
13417,2006,A particle swarm optimized particle filter for nonlinear system state estimation,Tong Guofeng
13418,2006,Independent component analysis based filter design for defect detection in low-contrast textured images,Tsai Du-Ming
13419,2003,Optimal operational planning for cogeneration system using particle swarm optimization,Tsukada T.
13420,2006,Cryptanalysis of simple substitution ciphers using particle swarm optimization,Uddin M.F.
13421,2005,Stochastic multi objective short term hydrothermal scheduling using particle swarm optimization,Umayal S.P.
13422,2005,Particle swarm optimization based pi controller tuning for fermentation process,Valarmathi K.
13423,2001,Training product unit networks using cooperative particle swarm optimisers,Bergh A.P. Engelbrecht F.
13424,2003,Data clustering using particle swarm optimization,Merwe D.W.
13425,2006,"Multiple sectors, multi function, multi radar dwell time management using particle swarm optimization (m3rtm",Veeramachaneni K.
13426,2005,An adaptive multimodal biometric management algorithm,Veeramachaneni K.
13427,2007,Comparison of nonuniform optimal quantizer designs for speech coding with adaptive critics and particle swarm,Venayagamoorthy G.K.
13428,2005,Optimal control parameters for a upfc in a multimachine using pso,Venayagamoorthy G.K.
13429,2004,Navigation of mobile sensors using pso and embedded pso in a fuzzy logic controller,Venayagamoorthy G.K.
13430,2004,Swarm intelligence for digital circuits implementation on field programmable gate arrays platforms,Venayagamoorthy G.K.
13431,2005,Reserve constrained dynamic dispatch of units with valve-point effects,Victoire T.A.A.
13432,2005,Determining generator contributions to transmission system using parallel vector evaluated particle swarm optimization,Vlachogiannis J.G.
13433,2005,Reactive power control based on particle swarm multiobjective optimization,Vlachogiannis J.G.
13434,2006,A comparative study on particle swarm optimization for optimal steady-state performance of power systems,Vlachogiannis J.G.
13435,2006,Coordinated aggregation particle swarm optimization applied in reactive power and voltage control,Vlachogiannis J.G.
13436,2005,Evolving swarms that build 3d structures,Mammen S.
13437,2004,An approach to multimodal biomedical image registration utilizing particle swarm optimization,Wachowiak M.P.
13438,2006,A new particle swarm optimizer algorithm and application,Wang Bo
13439,2006,Performance optimization of wireless video sensor networks using swarm optimization with convex mapping,Wang Bo
13440,2006,Distribution network reconfiguration basedl on modified particle swarm optimization algorithm,Wang Cui-Ru
13441,2005,An improved artificial fish-swarm algorithm and its application in feed-forward neural networks,Wang Cui-Ru
13442,2005,A modified particle swarm optimization algorithm and its application for solving traveling salesman problem,Wang Cuiru
13443,2006,A predictive model of sinter chemical composition and its application,Wang Jiesheng
13444,2006,Personalized on-line service of particle swarm optimization cluster analysis algorithm,Wang Jun
13445,2005,A hybrid intelligent qos multicast routing algorithm in ngi,Wang Junwei
13446,2006,A hybrid intelligent qos multicast routing algorithm in ngi,Wang Junwei
13447,2006,An intelligent qos multicast routing algorithm under inaccurate information,Wang Junwei
13448,1585,Particle swarm optimization for traveling salesman problem,Wang Kang-Ping
13449,2006,Application of snake model based on pso in the image segmentation,Wang Kejun
13450,2006,Reserve-constrained multiarea environmental/economic dispatch using enhanced particle swarm optimization,Wang L.
13451,2006,Obstacle-avoidance path planning for soccer robots using particle swarm optimization,Wang Li
13452,2006,Particle swarm optimization for fuzzy c-means clustering,Wang Li
13453,2006,Pso-based multidisciplinary design of a hybrid power generation system with statistical models of wind speed and solar insolation,Wang Lingfeng
13454,2006,Stochastic combined heat and power dispatch based on multi-objective particle swarm optimization,Wang Lingfeng
13455,2006,Tradeoff between risk and cost in economic dispatch including wind power penetration using particle swarm optimization,Wang Lingfeng
13456,2006,Robust optimization of multilayer conductors of hts ac cable using pso and perturbation analysis,Wang Shuhong
13457,2005,Particle swarm optimization and finite-element based approach for microwave filter design,Wang Wen
13458,2006,Pso-pid: a novel controller for aqm routers,Wang Xiuli
13459,2006,An efficient collision detection of complex deformable objects based on particle swarm optimization algorithm,Wang Yi
13461,2005,Adaptive inverse control based on particle swarm optimization algorithm,Wang YuShen
13462,2004,Particle swarm optimization and neural network application for qsar,Wang Z.
13463,2006,Particle swarm optimization for operational parameters of series hybrid electric vehicle,Wang Zhancheng
13464,2005,An aco algorithm for service restoration in power distribution systems,Watanabe I.
13465,2006,Model order reduction based on particle swarm optimization,Wang Zhao
13466,2004,A new hybrid optimization algorithm for the job-shop scheduling problem,Weijun Xia
13467,2006,Increment pid controller based on immunity particle swarm optimization algorithm,WeiZhng KunWang
13468,2006,Comparison of two optimal control strategies for a grid independent photovoltaic system,Welch R.L.
13469,2004,Ocean color inversion by particle swarm optimization,
13470,2006,Particle swarm optimisation for the design of brushless permanent magnet machines,Wrobel R.
13471,2006,A novel real number encoding method of particle swarm optimization for vehicle routing problem,Wu Bin
